policy_id,issue_age,gender,risk_class,product,face_amount,issue_date
51,56,M,Standard,Term20,58100,2020-04-14
52,32,F,Preferred,Term10,27400,2022-01-28
53,39,M,Preferred,Term20,103200,2020-02-17
54,44,F,Preferred,Term20,27600,2020-01-04
55,45,F,Preferred,Term10,25200,2020-04-18
56,26,F,Standard,Term20,120100,2021-03-09
57,47,F,Standard,Term20,175200,2018-01-14
58,31,M,Standard,Term20,40100,2020-10-03
59,55,F,Preferred,Term20,109300,2022-11-25
60,53,F,Preferred,Term10,96600,2019-11-12
61,62,M,Standard,Term10,56700,2021-11-23
62,55,F,Standard,Term10,133500,2019-02-14
63,40,M,Standard,Term10,54300,2023-02-27
64,64,M,Preferred,Term10,81700,2019-11-11
65,41,F,Preferred,Term10,28200,2022-01-03
66,38,F,Standard,Term20,29000,2022-10-14
67,62,M,Standard,Term10,120700,2020-02-01
68,40,F,Standard,Term20,83300,2023-01-23
69,28,F,Standard,Term10,55000,2023-10-26
70,44,M,Preferred,Term10,188100,2018-09-06
71,57,M,Standard,Term10,186900,2021-02-02
72,32,M,Standard,Term10,77900,2019-01-22
73,43,F,Standard,Term10,25000,2023-11-20
74,30,M,Standard,Term10,56000,2023-04-23
75,53,F,Preferred,Term20,36300,2020-12-16
76,44,F,Standard,Term10,63200,2020-07-17
77,38,F,Standard,Term10,34100,2022-12-08
78,34,M,Standard,Term10,29200,2020-11-09
79,48,M,Preferred,Term10,15400,2022-08-18
80,52,F,Preferred,Term10,66200,2021-02-27
81,63,F,Standard,Term10,15100,2019-11-09
82,42,M,Standard,Term20,49400,2020-05-11
83,31,F,Standard,Term20,90800,2023-04-17
84,59,F,Standard,Term20,38800,2020-07-02
85,50,F,Standard,Term20,31200,2020-05-19
86,53,M,Preferred,Term10,57500,2023-09-04
87,28,F,Preferred,Term10,36400,2021-04-20
88,37,F,Standard,Term10,66900,2021-11-25
89,56,F,Standard,Term20,32200,2020-02-26
90,59,M,Standard,Term10,56200,2022-06-05
91,42,F,Standard,Term10,48600,2018-12-17
92,57,M,Standard,Term20,59500,2019-11-13
93,59,F,Standard,Term10,159700,2022-10-14
94,40,M,Preferred,Term10,67500,2019-08-20
95,61,M,Standard,Term20,81000,2023-07-28
96,36,M,Preferred,Term10,41200,2023-03-17
97,34,M,Standard,Term10,68500,2020-04-16
98,52,M,Standard,Term10,50800,2023-07-19
99,51,M,Standard,Term10,60900,2022-04-15
100,30,F,Preferred,Term20,88400,2022-04-10
101,59,M,Standard,Term20,44300,2020-09-24
102,33,F,Standard,Term10,47200,2018-09-19
103,58,M,Preferred,Term10,44700,2021-06-16
104,25,F,Preferred,Term10,44200,2022-04-01
105,57,M,Preferred,Term20,66400,2018-03-08
106,57,F,Standard,Term10,48100,2018-04-08
107,56,M,Standard,Term10,147100,2022-04-19
108,52,M,Preferred,Term20,298800,2021-12-04
109,44,F,Standard,Term20,42600,2021-04-11
110,53,F,Standard,Term20,71400,2022-11-13
111,36,M,Standard,Term20,111600,2022-07-21
112,57,F,Standard,Term10,51000,2020-06-05
113,47,M,Preferred,Term20,33000,2021-04-17
114,43,M,Preferred,Term20,169900,2020-10-16
115,45,M,Standard,Term10,90400,2019-11-21
116,48,F,Preferred,Term10,72500,2022-12-06
117,26,M,Standard,Term10,143000,2020-10-17
118,30,M,Standard,Term20,95000,2023-02-12
119,35,M,Standard,Term20,58200,2020-11-08
120,29,F,Preferred,Term20,33300,2019-08-03
121,43,M,Standard,Term10,44500,2022-07-11
122,52,F,Standard,Term20,123400,2018-04-13
123,51,F,Preferred,Term10,90200,2023-07-02
124,44,F,Standard,Term10,53500,2021-10-23
125,60,F,Preferred,Term20,172800,2020-08-20
126,48,M,Standard,Term20,54500,2019-02-09
127,28,M,Standard,Term20,108300,2019-10-02
128,56,F,Preferred,Term10,68300,2019-10-20
129,48,M,Standard,Term10,191000,2022-09-01
130,51,M,Standard,Term10,94100,2019-03-12
131,48,M,Standard,Term10,61600,2018-04-06
132,47,F,Preferred,Term20,53800,2019-06-07
133,28,F,Preferred,Term10,59300,2021-11-22
134,47,M,Preferred,Term10,38700,2020-10-09
135,57,F,Standard,Term10,26400,2020-02-07
136,37,F,Standard,Term20,72100,2023-01-09
137,49,F,Standard,Term20,43500,2020-01-05
138,26,F,Standard,Term10,43400,2022-12-21
139,39,F,Preferred,Term10,56800,2018-11-14
140,42,M,Standard,Term20,61800,2021-03-06
141,65,F,Standard,Term10,60100,2018-11-09
142,33,M,Standard,Term10,169900,2018-07-28
143,36,M,Standard,Term10,89100,2022-04-17
144,41,F,Standard,Term20,212100,2022-09-20
145,65,F,Standard,Term20,46000,2021-01-24
146,59,M,Standard,Term10,95800,2020-02-12
147,26,F,Standard,Term10,47600,2019-04-10
148,34,M,Standard,Term10,42800,2022-08-28
149,58,M,Preferred,Term10,216900,2019-11-16
150,27,M,Standard,Term10,37800,2020-07-07
151,60,F,Standard,Term10,15700,2023-06-25
152,36,M,Standard,Term10,39200,2022-08-22
153,62,M,Standard,Term10,17900,2023-01-12
154,37,F,Preferred,Term10,33800,2019-08-08
155,42,M,Standard,Term10,35800,2018-10-19
156,52,F,Preferred,Term20,61200,2022-06-16
157,30,M,Preferred,Term10,17500,2021-08-07
158,47,M,Standard,Term20,122700,2022-04-02
159,45,F,Standard,Term20,19400,2023-12-23
160,57,M,Standard,Term20,55500,2020-03-24
161,65,M,Standard,Term10,49300,2018-02-26
162,52,M,Standard,Term10,98200,2023-12-11
163,41,M,Standard,Term20,73900,2019-07-20
164,41,M,Standard,Term10,122000,2018-05-17
165,42,M,Standard,Term10,48200,2021-10-08
166,58,F,Preferred,Term10,45300,2018-04-26
167,38,M,Preferred,Term20,76700,2018-04-10
168,31,M,Preferred,Term20,111000,2022-01-01
169,38,M,Standard,Term10,98200,2018-07-05
170,25,F,Standard,Term20,72600,2021-10-28
171,29,F,Preferred,Term20,68800,2020-12-02
172,28,F,Preferred,Term10,58600,2018-07-15
173,56,M,Standard,Term10,76600,2023-01-14
174,54,F,Standard,Term10,203000,2018-03-22
175,53,M,Standard,Term20,51800,2021-04-23
176,43,F,Preferred,Term20,48100,2018-11-14
177,54,M,Standard,Term20,46000,2021-07-18
178,31,M,Standard,Term20,75600,2019-12-23
179,61,F,Standard,Term10,16800,2023-11-23
180,45,M,Standard,Term20,55200,2020-11-25
181,63,M,Standard,Term20,101600,2018-04-20
182,31,M,Preferred,Term20,43700,2018-07-11
183,45,F,Standard,Term10,67000,2021-01-16
184,53,F,Standard,Term10,212300,2021-05-21
185,45,F,Standard,Term10,73100,2019-04-09
186,43,F,Preferred,Term10,15600,2021-02-28
187,31,M,Standard,Term10,25700,2022-01-13
188,40,M,Standard,Term20,51500,2022-05-22
189,34,M,Standard,Term20,37000,2022-01-15
190,37,M,Preferred,Term10,63700,2023-08-27
191,53,M,Preferred,Term10,50200,2019-04-19
192,50,M,Preferred,Term10,120500,2018-03-21
193,49,M,Standard,Term20,31100,2018-02-22
194,39,F,Preferred,Term20,52900,2018-06-10
195,64,M,Preferred,Term10,68200,2019-03-10
196,28,F,Standard,Term10,73500,2018-07-24
197,39,M,Standard,Term10,65400,2023-12-13
198,29,F,Standard,Term10,14100,2020-09-19
199,38,F,Standard,Term10,62900,2019-02-15
200,64,F,Standard,Term10,54700,2021-02-01
201,40,M,Standard,Term10,100600,2020-11-14
202,62,M,Preferred,Term10,92400,2018-11-05
203,45,F,Standard,Term10,69200,2023-05-03
204,53,F,Standard,Term20,72300,2022-06-08
205,43,M,Standard,Term10,134800,2022-05-09
206,35,F,Standard,Term10,119400,2023-07-21
207,56,M,Standard,Term20,70600,2023-03-08
208,64,M,Standard,Term10,216900,2019-12-23
209,35,M,Standard,Term20,41100,2022-05-06
210,56,F,Preferred,Term10,29400,2018-03-24
211,35,F,Standard,Term20,59500,2020-04-15
212,54,M,Preferred,Term10,47800,2022-11-02
213,57,F,Preferred,Term10,13600,2022-04-04
214,43,F,Standard,Term10,40500,2022-10-03
215,55,M,Standard,Term20,73600,2022-10-12
216,36,F,Standard,Term20,57800,2018-12-09
217,28,F,Preferred,Term20,37600,2021-02-02
218,28,F,Standard,Term10,61400,2021-05-20
219,43,M,Standard,Term20,64500,2018-11-24
220,62,F,Preferred,Term10,92000,2019-02-24
221,30,M,Standard,Term10,40700,2020-01-05
222,43,M,Preferred,Term10,101100,2021-01-25
223,53,F,Standard,Term10,31100,2023-01-12
224,33,F,Preferred,Term20,44300,2022-10-06
225,54,F,Standard,Term10,165900,2023-05-04
226,37,F,Standard,Term10,32400,2019-02-22
227,58,F,Preferred,Term20,40300,2020-09-08
228,48,F,Standard,Term20,28200,2019-04-18
229,47,M,Preferred,Term10,36400,2023-02-16
230,32,F,Preferred,Term20,65100,2021-12-26
231,43,M,Standard,Term10,91500,2021-08-21
232,60,M,Standard,Term20,59200,2021-06-22
233,25,F,Preferred,Term10,49300,2019-12-14
234,56,F,Standard,Term10,28400,2023-03-15
235,45,M,Preferred,Term20,38700,2021-08-05
236,54,F,Standard,Term10,23700,2021-10-22
237,52,F,Preferred,Term20,93100,2022-01-22
238,42,M,Standard,Term10,97100,2022-04-09
239,37,F,Preferred,Term10,58400,2020-02-04
240,50,M,Standard,Term20,78000,2022-07-23
241,30,F,Standard,Term10,101300,2022-09-22
242,48,F,Preferred,Term20,63600,2021-02-22
243,28,F,Preferred,Term20,138200,2018-02-01
244,51,F,Standard,Term10,32400,2019-06-24
245,50,F,Preferred,Term10,48600,2018-05-11
246,28,F,Standard,Term10,45200,2019-02-07
247,56,M,Standard,Term10,88300,2018-09-15
248,42,M,Standard,Term10,25300,2021-10-24
249,57,M,Standard,Term10,142700,2023-06-23
250,26,F,Standard,Term20,83900,2018-05-05
251,32,F,Standard,Term10,171100,2019-02-28
252,45,M,Standard,Term20,58400,2018-04-22
253,32,M,Preferred,Term10,43000,2018-07-27
254,38,F,Preferred,Term10,88800,2018-12-27
255,52,F,Preferred,Term10,111100,2021-03-15
256,30,M,Standard,Term10,39000,2023-10-02
257,52,F,Preferred,Term20,18100,2022-07-03
258,29,F,Standard,Term10,20000,2022-07-18
259,32,F,Preferred,Term20,70000,2018-04-03
260,49,F,Standard,Term20,150900,2023-12-19
261,57,F,Standard,Term10,27400,2021-01-03
262,31,F,Standard,Term20,50800,2023-03-23
263,37,F,Preferred,Term20,48600,2020-04-08
264,62,F,Preferred,Term10,189500,2022-07-03
265,65,M,Preferred,Term20,232200,2020-06-10
266,48,M,Preferred,Term10,77200,2021-12-26
267,43,M,Preferred,Term20,102600,2018-03-16
268,39,F,Standard,Term10,100900,2020-07-28
269,50,M,Preferred,Term20,27800,2019-06-08
270,49,F,Standard,Term20,91000,2022-04-19
271,37,M,Standard,Term20,32500,2022-01-06
272,25,M,Standard,Term20,54000,2023-10-13
273,31,M,Preferred,Term10,118600,2020-03-11
274,64,F,Preferred,Term20,62900,2022-02-18
275,42,M,Standard,Term10,116000,2023-07-19
276,44,F,Standard,Term10,130600,2020-02-02
277,44,F,Standard,Term10,20900,2023-08-20
278,57,F,Preferred,Term20,16200,2022-09-22
279,27,M,Preferred,Term20,120200,2019-03-11
280,28,F,Standard,Term10,123200,2020-01-02
281,36,F,Standard,Term20,69800,2018-02-12
282,44,M,Standard,Term20,75800,2020-01-10
283,52,M,Standard,Term10,102300,2020-06-23
284,45,F,Standard,Term10,101200,2019-05-04
285,43,F,Standard,Term20,49900,2020-10-09
286,63,M,Standard,Term20,106200,2018-05-21
287,31,M,Standard,Term10,48600,2020-08-27
288,48,M,Preferred,Term10,69300,2019-06-17
289,47,F,Standard,Term10,67500,2019-06-01
290,44,M,Standard,Term10,35800,2022-09-20
291,58,M,Preferred,Term10,38300,2023-07-01
292,35,M,Preferred,Term10,228800,2019-07-02
293,64,M,Standard,Term10,35100,2021-06-19
294,38,M,Standard,Term20,74800,2023-09-11
295,47,M,Preferred,Term10,84800,2021-04-01
296,46,F,Standard,Term10,58000,2018-01-12
297,59,F,Preferred,Term10,89600,2022-06-11
298,42,M,Standard,Term20,72900,2018-04-17
299,36,M,Standard,Term10,35500,2021-11-27
300,25,M,Standard,Term10,82600,2020-12-03
301,39,F,Preferred,Term10,43200,2021-03-19
302,58,M,Standard,Term20,170100,2019-06-19
303,25,M,Standard,Term10,77500,2023-06-28
304,61,F,Standard,Term10,39300,2018-03-12
305,47,M,Preferred,Term20,73500,2023-01-05
306,30,M,Standard,Term20,34400,2018-12-26
307,37,M,Preferred,Term10,69900,2019-08-02
308,47,M,Preferred,Term10,52300,2021-05-13
309,37,F,Standard,Term20,36500,2021-03-19
310,29,F,Preferred,Term20,36200,2019-06-03
311,52,M,Preferred,Term20,258100,2019-04-09
312,52,M,Standard,Term20,63200,2021-03-03
313,29,M,Standard,Term20,46200,2018-12-24
314,36,F,Standard,Term20,41600,2018-08-08
315,34,M,Standard,Term10,79400,2020-04-17
316,52,M,Standard,Term20,40800,2018-03-07
317,54,F,Preferred,Term20,31000,2018-10-20
318,54,M,Preferred,Term10,58700,2018-08-23
319,63,M,Standard,Term10,58500,2022-11-02
320,56,M,Standard,Term10,46600,2018-10-21
321,38,F,Standard,Term20,35100,2019-05-19
322,29,F,Standard,Term20,47400,2022-08-03
323,50,F,Standard,Term10,45200,2020-05-08
324,62,M,Preferred,Term20,41600,2020-02-24
325,64,F,Preferred,Term10,70700,2021-01-13
326,34,F,Standard,Term10,227700,2021-01-03
327,34,M,Preferred,Term10,133100,2020-12-18
328,26,M,Standard,Term20,192000,2023-11-22
329,30,M,Preferred,Term10,42600,2019-05-13
330,47,F,Standard,Term10,163500,2019-11-04
331,47,M,Standard,Term10,68600,2021-09-04
332,40,M,Standard,Term20,108200,2023-02-11
333,37,F,Standard,Term20,78800,2023-03-14
334,59,M,Standard,Term20,48700,2022-05-22
335,43,F,Standard,Term20,92200,2018-10-20
336,58,M,Preferred,Term10,80100,2022-08-08
337,64,M,Preferred,Term10,20700,2018-05-20
338,38,F,Standard,Term20,55600,2023-11-04
339,33,F,Standard,Term10,101100,2018-04-06
340,64,M,Preferred,Term10,70700,2018-11-23
341,51,F,Standard,Term10,79400,2021-09-26
342,36,F,Standard,Term20,38100,2021-09-20
343,50,M,Preferred,Term10,69800,2020-02-13
344,46,F,Standard,Term10,56500,2020-02-25
345,62,M,Preferred,Term20,53000,2022-12-10
346,35,F,Standard,Term10,39800,2021-10-18
347,65,M,Standard,Term10,103700,2022-04-20
348,63,M,Standard,Term20,73700,2019-11-03
349,32,F,Standard,Term20,69300,2021-04-27
350,31,F,Standard,Term10,204900,2018-05-18
351,46,M,Preferred,Term10,79600,2019-04-07
352,26,F,Preferred,Term10,123000,2023-06-24
353,37,M,Preferred,Term10,70500,2018-10-11
354,42,F,Standard,Term20,48400,2020-02-03
355,64,F,Standard,Term20,31700,2020-12-19
356,65,F,Preferred,Term10,69200,2019-04-04
357,31,F,Preferred,Term20,12100,2018-12-17
358,61,F,Standard,Term10,70500,2018-11-19
359,28,F,Preferred,Term10,72300,2022-07-05
360,55,F,Standard,Term20,52500,2021-02-23
361,59,M,Standard,Term10,56600,2021-07-13
362,61,F,Preferred,Term10,28300,2018-10-10
363,34,F,Standard,Term20,137500,2021-12-03
364,61,M,Standard,Term10,48900,2019-02-21
365,29,F,Standard,Term10,33400,2019-09-05
366,46,F,Preferred,Term10,83000,2023-04-05
367,44,M,Standard,Term10,64000,2020-09-08
368,37,M,Preferred,Term10,48300,2018-07-13
369,25,M,Standard,Term10,45300,2021-11-25
370,56,F,Standard,Term10,59700,2019-01-21
371,38,F,Standard,Term10,134300,2018-07-21
372,52,F,Standard,Term20,79400,2022-09-06
373,41,F,Standard,Term20,58700,2021-05-19
374,40,M,Standard,Term20,99900,2019-04-10
375,61,F,Standard,Term20,60900,2022-04-14
376,28,M,Standard,Term20,76200,2019-09-18
377,55,M,Preferred,Term10,65600,2021-03-05
378,55,M,Preferred,Term10,85300,2021-12-10
379,40,F,Standard,Term10,45900,2018-03-12
380,35,M,Standard,Term10,30200,2022-05-25
381,25,M,Standard,Term20,103200,2021-12-28
382,63,M,Standard,Term10,147700,2020-01-27
383,63,M,Standard,Term20,31100,2022-05-15
384,34,F,Standard,Term10,66700,2022-11-18
385,26,F,Standard,Term10,45700,2020-04-21
386,30,F,Standard,Term10,101700,2022-04-22
387,27,F,Preferred,Term10,69400,2018-01-19
388,59,F,Standard,Term10,440900,2021-02-26
389,61,F,Standard,Term20,50000,2019-03-11
390,31,M,Standard,Term10,150600,2021-11-20
391,55,F,Preferred,Term20,159700,2021-07-18
392,32,F,Standard,Term20,82500,2022-03-22
393,40,F,Standard,Term10,61200,2021-10-27
394,49,M,Preferred,Term20,63400,2018-08-03
395,54,M,Standard,Term10,60200,2023-04-24
396,60,F,Standard,Term10,118200,2021-04-24
397,26,F,Standard,Term10,35500,2018-03-25
398,33,M,Preferred,Term10,54400,2018-09-08
399,36,F,Preferred,Term10,50500,2018-09-17
400,37,M,Preferred,Term10,21300,2019-08-02
401,65,F,Standard,Term20,100200,2019-06-02
402,56,M,Standard,Term10,113300,2023-07-17
403,38,M,Standard,Term20,40900,2022-11-28
404,64,F,Preferred,Term10,111100,2018-07-07
405,45,F,Preferred,Term10,23200,2020-08-23
406,45,M,Preferred,Term10,60700,2019-03-03
407,42,M,Standard,Term10,55500,2020-06-02
408,30,F,Preferred,Term10,63100,2018-01-18
409,63,M,Preferred,Term20,62900,2019-06-08
410,25,F,Preferred,Term10,57200,2021-10-03
411,32,F,Preferred,Term10,47400,2021-09-26
412,34,F,Standard,Term20,56100,2023-11-25
413,36,M,Standard,Term20,135700,2023-05-01
414,30,M,Standard,Term20,42300,2020-10-28
415,25,F,Standard,Term10,231700,2022-09-01
416,52,M,Preferred,Term20,40900,2023-09-21
417,64,F,Preferred,Term10,69200,2020-10-22
418,29,M,Preferred,Term20,84300,2020-06-09
419,37,F,Standard,Term10,50300,2021-05-04
420,45,M,Standard,Term10,137200,2023-08-16
421,63,F,Standard,Term20,83000,2022-05-25
422,53,F,Preferred,Term20,52900,2023-09-01
423,56,M,Preferred,Term20,136300,2022-11-24
424,48,M,Preferred,Term10,32600,2019-01-18
425,42,M,Standard,Term20,42600,2019-08-28
426,33,M,Standard,Term10,83900,2023-06-08
427,60,M,Preferred,Term10,96800,2020-02-19
428,57,M,Standard,Term10,72700,2019-03-13
429,26,F,Preferred,Term10,55500,2019-10-18
430,54,F,Standard,Term10,51500,2020-05-06
431,28,M,Standard,Term20,118000,2021-02-14
432,55,M,Standard,Term10,69200,2019-09-28
433,58,M,Preferred,Term20,35500,2019-03-24
434,30,F,Standard,Term20,34300,2020-05-06
435,42,M,Preferred,Term10,148500,2019-03-02
436,30,M,Preferred,Term20,38900,2023-09-12
437,48,M,Standard,Term10,70500,2018-12-07
438,63,F,Preferred,Term20,134700,2022-12-08
439,28,M,Preferred,Term10,82900,2019-01-06
440,41,F,Standard,Term10,38000,2021-12-16
441,64,M,Preferred,Term10,32600,2019-08-03
442,37,M,Standard,Term20,183900,2023-10-26
443,30,M,Standard,Term10,32100,2023-01-01
444,45,M,Standard,Term20,43000,2020-11-05
445,45,F,Preferred,Term10,74900,2018-04-16
446,52,M,Standard,Term20,52500,2019-05-04
447,37,M,Standard,Term10,84500,2022-11-15
448,64,M,Preferred,Term10,24800,2022-09-03
449,46,F,Standard,Term10,52800,2018-07-25
450,36,M,Preferred,Term10,89900,2018-09-17
451,64,F,Preferred,Term20,90100,2020-05-09
452,62,F,Standard,Term20,42500,2022-12-17
453,45,F,Standard,Term10,32400,2022-01-16
454,26,F,Preferred,Term10,68100,2018-07-23
455,49,F,Standard,Term10,27200,2023-01-21
456,47,M,Standard,Term20,129400,2019-06-24
457,31,F,Preferred,Term20,65800,2019-07-25
458,50,F,Preferred,Term20,39400,2020-11-03
459,59,M,Preferred,Term20,31800,2022-12-22
460,29,M,Standard,Term10,41000,2019-09-26
461,54,F,Preferred,Term10,23500,2021-12-06
462,30,F,Preferred,Term20,80600,2019-02-24
463,55,F,Preferred,Term10,37000,2018-07-18
464,42,M,Preferred,Term10,76100,2018-08-19
465,25,M,Preferred,Term10,82700,2020-01-20
466,64,F,Standard,Term20,106900,2018-08-10
467,31,M,Standard,Term20,69600,2021-01-26
468,49,F,Standard,Term20,117600,2022-08-21
469,32,F,Standard,Term10,137500,2021-03-13
470,63,M,Standard,Term10,69900,2020-12-18
471,55,F,Standard,Term10,72500,2019-04-27
472,57,M,Preferred,Term20,42900,2018-08-10
473,42,M,Standard,Term10,33100,2018-08-26
474,44,M,Standard,Term20,129200,2018-11-01
475,51,F,Standard,Term10,86100,2021-05-23
476,57,F,Standard,Term20,90400,2019-05-17
477,59,M,Preferred,Term20,42000,2021-09-20
478,25,F,Standard,Term10,158600,2020-01-17
479,52,F,Standard,Term20,52200,2019-07-14
480,29,F,Preferred,Term10,37000,2020-05-05
481,36,F,Standard,Term20,42400,2020-12-07
482,59,F,Standard,Term20,153700,2018-07-26
483,35,F,Preferred,Term10,30700,2018-10-12
484,57,F,Standard,Term10,38200,2023-10-05
485,43,M,Preferred,Term20,340800,2018-02-04
486,34,M,Preferred,Term20,105300,2019-08-09
487,38,M,Preferred,Term20,38600,2020-09-21
488,46,F,Standard,Term20,31300,2020-06-11
489,56,F,Preferred,Term10,21900,2022-03-13
490,49,F,Preferred,Term10,63500,2022-06-20
491,63,M,Standard,Term10,92700,2021-01-17
492,60,M,Preferred,Term10,148900,2019-12-03
493,55,M,Standard,Term10,19200,2023-02-11
494,49,F,Preferred,Term20,27000,2018-02-20
495,36,M,Standard,Term10,55700,2019-02-20
496,41,M,Standard,Term10,318900,2020-03-12
497,29,F,Standard,Term20,101900,2020-03-07
498,40,M,Preferred,Term20,74900,2021-08-06
499,62,F,Standard,Term20,28700,2018-02-03
500,42,F,Standard,Term10,16800,2023-09-04
501,29,M,Standard,Term20,61300,2018-05-28
502,51,M,Preferred,Term10,56400,2020-05-12
503,64,M,Standard,Term10,51000,2021-07-09
504,60,M,Standard,Term20,47700,2023-01-13
505,36,M,Preferred,Term10,38200,2021-07-15
506,43,M,Standard,Term20,33300,2021-07-04
507,46,M,Standard,Term10,137800,2019-09-26
508,35,F,Standard,Term10,35200,2022-02-14
509,36,M,Preferred,Term10,50700,2021-01-16
510,34,F,Preferred,Term10,58500,2018-01-15
511,65,F,Standard,Term10,91500,2020-12-27
512,55,M,Standard,Term10,35900,2023-05-28
513,59,F,Standard,Term10,107700,2023-03-04
514,58,M,Preferred,Term20,42300,2019-02-20
515,64,F,Standard,Term10,54300,2022-04-05
516,29,M,Standard,Term20,160500,2019-06-01
517,61,F,Preferred,Term10,33500,2022-12-16
518,27,F,Standard,Term10,92300,2021-10-14
519,44,F,Standard,Term10,109400,2019-11-14
520,49,M,Standard,Term20,72100,2023-01-01
521,39,F,Standard,Term20,55800,2019-07-19
522,30,F,Standard,Term10,214400,2020-06-15
523,32,F,Preferred,Term20,59400,2023-03-02
524,58,F,Standard,Term10,67700,2019-06-10
525,38,M,Standard,Term10,48900,2019-08-04
526,37,M,Preferred,Term10,65600,2023-01-26
527,62,F,Preferred,Term10,106800,2020-12-21
528,30,F,Preferred,Term10,50800,2022-09-14
529,62,F,Preferred,Term10,16900,2018-12-03
530,62,F,Standard,Term10,81500,2021-02-24
531,49,F,Standard,Term10,31400,2018-01-10
532,31,F,Standard,Term10,93400,2020-12-17
533,31,M,Standard,Term20,59800,2019-12-21
534,36,M,Preferred,Term20,105400,2020-08-12
535,48,M,Preferred,Term10,33900,2020-03-28
536,31,F,Standard,Term10,43400,2023-04-07
537,43,F,Standard,Term10,48800,2021-10-10
538,29,F,Preferred,Term20,24600,2018-12-06
539,47,M,Standard,Term10,116600,2020-09-10
540,25,F,Standard,Term10,22600,2022-05-23
541,54,F,Standard,Term20,115700,2020-10-14
542,27,F,Standard,Term10,77200,2021-04-25
543,32,M,Standard,Term10,53100,2021-02-25
544,32,M,Preferred,Term20,73600,2023-05-10
545,59,M,Standard,Term20,72400,2021-06-23
546,27,F,Standard,Term10,47100,2021-08-14
547,42,F,Preferred,Term10,71600,2023-09-12
548,49,F,Standard,Term10,92800,2019-09-09
549,46,M,Preferred,Term10,34000,2022-03-02
550,52,M,Preferred,Term10,73700,2022-08-13
551,57,F,Standard,Term10,12400,2020-01-19
552,41,M,Standard,Term20,18800,2023-12-25
553,58,F,Preferred,Term20,84000,2019-06-12
554,38,M,Preferred,Term20,46600,2023-12-04
555,65,F,Preferred,Term20,35900,2018-11-14
556,45,F,Standard,Term10,58000,2019-03-09
557,55,F,Preferred,Term10,47200,2019-02-26
558,60,M,Preferred,Term10,33100,2020-11-20
559,57,F,Standard,Term10,22400,2020-06-26
560,59,F,Preferred,Term10,18400,2022-02-09
561,46,F,Standard,Term20,93300,2020-08-13
562,26,M,Standard,Term10,46500,2021-12-03
563,45,F,Preferred,Term10,107100,2018-08-04
564,32,M,Standard,Term10,46200,2018-04-11
565,61,M,Standard,Term20,74100,2020-05-12
566,34,F,Standard,Term20,55500,2018-04-19
567,34,F,Preferred,Term10,61500,2018-07-07
568,35,M,Standard,Term10,63300,2018-06-28
569,51,M,Preferred,Term20,45800,2019-05-22
570,48,F,Preferred,Term10,28600,2019-03-25
571,63,F,Standard,Term20,94800,2018-01-09
